language,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
Oromo,Jalqabame Ummata gaaga'ama hamaa keessa galchuu ni mala jibbamee Garee tplf ni Tolli Nagaan,0,0,1,0,0,0
Oromo,Galchuu ni mala jibbamee Garee tplf ni Tolli Nagaan jalqabame Ummata gaaga'ama hamaa keessa,0,0,1,0,0,0
Oromo,Jibbamee Garee tplf ni Tolli Nagaan jalqabame Ummata gaaga'ama hamaa keessa galchuu ni mala,0,0,1,0,0,0
Oromo,Hojii gaaarii asumaaan garakos kota ijolee keenya,0,0,0,1,0,0
Oromo,Haaayeee nuuufi jirraa jirraa,0,0,0,1,0,0
Oromo,Dhira Mohammmed Deksiso Baga bate Gazexeeesssa omn birooon utu godhame garu gaaariii ture,0,0,0,1,0,0
Oromo,Iluu Abbaa Booraa OromiyaaFinca'aa Soor URL,0,0,0,0,0,0
Oromo,ADAAMAA Onkololeessa 28/2014 (EShC)-Hiriirri mormii garee shororkeessaa TPLF balaaleffatuufi Raayyaa Ittisaa Biyyaa deeggaru Aanaalee fi bulchiinsa Magaalota Godina Shawaa Bahaa Keessatti gaggeeffamee. URL,0,0,0,0,0,0
Oromo,ADAAMAA Onkololeessa 28/2014 (EShC)-Hiriirri mormii garee shororkeessaa TPLF balaaleffatuufi Raayyaa Ittisaa Biyyaa deeggaru Aanaalee fi bulchiinsa Magaalota Godina Shawaa Bahaa Keessatti gaggeeffamee. URL,0,0,0,0,0,0
Oromo,ADAAMAA Onkololeessa 28/2014 (EShC)-Hiriirri mormii garee shororkeessaa TPLF balaaleffatuufi Raayyaa Ittisaa Biyyaa deeggaru Aanaalee fi bulchiinsa Magaalota Godina Shawaa Bahaa Keessatti gaggeeffamee. URL,0,0,0,0,0,0
Oromo,ADAAMAA Onkololeessa 28/2014 (EShC)-Hiriirri mormii garee shororkeessaa TPLF balaaleffatuufi Raayyaa Ittisaa Biyyaa deeggaru Aanaalee fi bulchiinsa Magaalota Godina Shawaa Bahaa Keessatti gaggeeffamee. URL,0,0,0,0,0,0
Oromo,ADAAMAA Onkololeessa 28/2014 (EShC)-Hiriirri mormii garee shororkeessaa TPLF balaaleffatuufi Raayyaa Ittisaa Biyyaa deeggaru Aanaalee fi bulchiinsa Magaalota Godina Shawaa Bahaa Keessatti gaggeeffamee. URL,0,0,0,0,0,0
Oromo,Hojii boonsaa hojjjechaa jirtu Jabaaadhaa kabajamoo keenya,0,0,0,1,0,0
Oromo,qaba keeesssa gamtaa hamaan jiru bauuu,0,0,0,0,0,0
Oromo,2013 Eebbaa Proojektii Godina Gujii Eebbisan dhabnaan Diichii lolaa Eebbisan keessa Gudii gujiin keessaa jiru Ardaan Gujii Oromoo dubbachuu dande'u sababille Gahumsa Amantii fi Godina Ulaagaa qoodinsa angoo seenu hi qabu.Ajaa'iba @<username> furmaata kam kennitu?,0,0,0,0,0,1
Oromo,Oromoon akkuma uummata kamiiyyuu aangomuuf OPDOn kufuu qabdi. Dhaaba waggaa 30f namni gaariin yoo hidhamuu fi ajjeefamu namni gadheen du’aa fi dararaa uummataatiif hin rifanne itti wal guuraa baheedha. Dhaabni akkanaa Oromoof qofa osoo hin taane hawaasa kamiifuu hin malu.,0,1,0,0,0,0
Oromo,Oromiyaa broodkaastingi neetwoorki irreechi araara waaqarraa barbaadamuu galata uumaaf galchan taheef oromoon wal dhabdee wal shakkkii qabu kamuu furachuun irreecha baranaa irratti hirmaachuu qabu abbootiin gadaa abbootiin amantaa jaarsoliin biyyaa dhaaman,0,0,0,0,0,0
Oromo,Yaaadni ishiii waaan bareeeddduuun hin dhaanee akkka waaan bareeedddun dhaanee qeeequ yooo tahe bareeedadhaa Garuuu akkkaaataan ishiiin itti ibsaa jirtu sagantaa kana nama jibbisiiisa waaan taheeef osoo akkka malaa nurraa goootee habteee,1,0,0,0,0,0
Oromo,Oromo: erga fixee booda akka reeffa hin kaafne dhoorkee hallayyaarran gadi gatuun reeffa bineensa nyaachisaa jira. Aanaa H/Abootee Dagamis rakkuma walfakkaatutu jira. Dargaggoonni asii gaditti argaman hundi jumlaan bakka tokkotti ajjeefamanii jiru.,0,0,0,0,1,0
Oromo,galatooma tourkan jedhuu sun diyaspoora wajjiin gaggeessan qeerroon biyyaaf akkasumaas yeroo kammiyyuu goota kiyya kan jedhe dukaa dhabaata tureti galataa dhabee. Hundinuu haa hafu laammiin keenya hongeen dhuma jiru itti mul'achuu dide moo maal? diyaspoora malee kun sabaa miti,1,0,0,0,0,0
