language,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
Tigrinya,እንደ ምንጣብ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በተለይ በ,0,0,0,0,1,0
Tigrinya,እንደ እናት ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተቀቲሎም ተ,0,0,0,0,1,0
Tigrinya,ዓማጺ ኣብ ዓድና ቀጻልነት ኣይክህልዎን እዩ ኣብ መጻኢት ሃገርና ተጸልጺልኩም ክትጋሓፉ እኩም ባራዩ እንደ ተጸልጺልኩም ኣብ መጻኢት ሃገርና ተጸልጺልኩም ክትጋሓፉ እኩም ባራዩ እንደ ተጸልጺልኩም ኣብ መጻኢት ሃገርና ተጸልጺልኩም ክትጋሓፉ እኩም ባራዩ እንደ ተጸልጺልኩም ኣብ መጻኢት ሃገርና ተጸልጺልኩም ክትጋሓፉ እኩም ባራዩ እንደ ተጸልጺልኩ,0,1,0,0,0,0
Tigrinya,ከመይ ገርኩም ኢትዮጵያ ትመርሕ ነርካ ዝገርምዩ ሓሳብካ ክትግለጽ ዘይትኽእል ቁምነገር ዘይብሉ ሃለውለው ኣቅምኩም ዘይብሉ ሃለውለው ኣቅምኩም ተሳኢርኩም,0,1,0,0,0,0
Tigrinya,ኣቦይ ስብሓት እንቃዕ ብሂወትካ ኣሎኻ ወዲ 88 ዓመት ጽቡቅ ዕድመ ኢዩ ብዙሕ ክውንነት ክትምስክር እትኽእ,0,0,0,0,0,1
Tigrinya,ህዝቢ ዘገድሶ እንደ መልእኽቲ ጽሑፍካ ንመዘክር ንምውቃስ ኣይኮነንንን፡፡ እዚ ዝደራደር ዘሎ ህወሓት እምበር ግዝያዊ መንግስቲ ኣይኮነንንን ንምባል ደሊኻ ኢኻ። ህዝቢ ዘገድሶ ግ,1,0,0,0,0,0
Tigrinya,እንኳን በተለያዩ ተቃምታት እና ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃምታት በተለያዩ ተቃ,0,1,0,0,0,0
Tigrinya,እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደምሓሾም እንደ አንቺ እንደ,0,1,0,0,0,0
Tigrinya,ተጨኒቅኩም ኣይተጨንቁና ባዕልኩም ትፈልጡ፣,1,0,1,0,0,0
Tigrinya,እዛ ሰብኣይ እዚ ኹሉ ደቀስትዮ ተገላብጥ ነይራ HIV ክሕዛ ዘይከኣለ ዝገርም ኡ ተገላብጥነትን አለውንቃቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅቅ,0,0,0,0,0,1
Tigrinya,ዘይተወልዱ ዕሸላት፡ ንካሮት ‘ብፍሽኽታ’፡ ንሓምሊ ‘ብጽዋገ’ ከም ዝቕበሉ ተመራመርቲ ሓቢሮም,0,0,0,0,0,0
Tigrinya,ዋው በጣዕሚ ዝገርም ስራሕ እዩ።,0,0,0,0,0,1
Tigrinya,ዋው በጣዕሚ ዝገርም ስራሕ እዩ፣,0,0,0,0,0,1
Tigrinya,ዋው በጣዕሚ ዝገርም ስራሕ እዩ፣፣,0,0,0,0,0,1
Tigrinya,ዋው በጣዕሚ ዝገርም ስራሕ እዩ፣፣፣,0,0,0,0,0,1
Tigrinya,ዋው በጣዕሚ ዝገርም ስራሕ እዩ፣፣፣፣,0,0,0,0,0,1
Tigrinya,ሰለስተ ወተሃደራት ኣሜሪካ ብድሮን ተቐቲሎም,0,0,0,0,0,0
Tigrinya,ኣፍታርፈር ኣይትበል ገና ኣብ ኣምሓራን ዓፋርን ብዝወረደ መስካሕክሒ ግፍዒ ብጄኖሳይድ ትሕተቱ ኢኹም,1,0,0,0,0,0
Tigrinya,ንተመዛበልቲ ምዕ ትግራይ እንታይ ዝተፈለየ ጠመተ ርኢና?,0,0,0,0,0,0
